Gene,Ranks,gene_name
CSTB,1.3275400427284274,CSTB
SUMO3,1.3039545667512626,SUMO3
PTTG1IP,1.2924319821826442,PTTG1IP
VSIG2,1.2563023132932003,VSIG2
SCARF1,1.1943151015671276,SCARF1
PDXK,1.1580875759371987,PDXK
MRPS6,1.1346411211636052,MRPS6
AGPAT3,1.1225591723255068,AGPAT3
YBEY,1.0971811934425952,YBEY
SPACA9,1.03514702111013,SPACA9
PFKL,1.0294237708253795,PFKL
IFNAR2,1.0127190952096237,IFNAR2
CPT1B,1.0113262588966965,CPT1B
ADRA2A,1.0083268708397024,ADRA2A
CHAF1B,1.0001984944600115,CHAF1B
FAM207A,0.9927935774297727,FAM207A
POFUT2,0.9899750051194087,POFUT2
VPS26C,0.9617892165735079,VPS26C
DUSP13,0.9489335244702234,DUSP13
IL10RB,0.9486154081735148,IL10RB
GET1,0.9358463924046372,GET1
AMH,0.9310081428225561,AMH
FOLR2,0.9253612846053096,FOLR2
C21orf58,0.9189142580352955,C21orf58
GPR1,0.9099596285186744,GPR1
ADM5,0.8868977367935629,ADM5
LIPH,0.8828860349746904,LIPH
NDUFV3,0.8800128790978833,NDUFV3
MEOX1,0.8728298103171225,MEOX1
OXTR,0.8684769536429315,OXTR
CFAP161,0.8565374837683559,CFAP161
CCT8,0.848778084948995,CCT8
RWDD2B,0.8388510327655346,RWDD2B
SLC19A1,0.833398222430094,SLC19A1
PRMT2,0.8324078198530508,PRMT2
ITGB2,0.8276257738294549,ITGB2
SLC37A1,0.8248701666397137,SLC37A1
MROH6,0.8203517176945407,MROH6
NRG1,0.8202095180604809,NRG1
RCAN1,0.8196434693604239,RCAN1
EGFL7,0.8151302513560844,EGFL7
LSS,0.8110186870524417,LSS
RHOC,0.8107281767837651,RHOC
VEPH1,0.8074537904729525,VEPH1
GART,0.806000209311473,GART
GHRL,0.8049818002077138,GHRL
AQP10,0.8016697737011088,AQP10
IFNGR2,0.7934440108451947,IFNGR2
SERPINE1,0.7888088189740918,SERPINE1
VENTX,0.7802553041111583,VENTX
LRRC3,0.7781865034353067,LRRC3
WNT9B,0.7772061325036668,WNT9B
DONSON,0.7720492844230975,DONSON
PTPRF,0.771209131587796,PTPRF
SLC9A3R2,0.7696771359137955,SLC9A3R2
CHKB-CPT1B,0.7688114742709994,CHKB-CPT1B
MAMDC4,0.767053980885036,MAMDC4
FCER1G,0.7626723997780206,FCER1G
ETS2,0.762107573847576,ETS2
COL6A2,0.7602319420489161,COL6A2
VEGFC,0.7565243039657715,VEGFC
CYYR1,0.7508603286602704,CYYR1
CFAP298,0.7485521953184558,CFAP298
ESAM,0.7468498388692798,ESAM
CALHM5,0.7467365174087808,CALHM5
SMIM5,0.7455792081684885,SMIM5
ACOT7,0.7443674220273583,ACOT7
IFNAR1,0.744260648594106,IFNAR1
RRP1,0.7437107208897997,RRP1
UBXN10,0.7406603880865947,UBXN10
LGALS3,0.7390863012629408,LGALS3
CFAP410,0.7375168307293297,CFAP410
AC233992.2,0.7333844512262616,AC233992.2
