,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,gsea,GSE34205_HEALTHY_VS_RSV_INF_INFANT_PBMC_DN,0.73762999493817,2.0530569053250436,0.0006606929016806375,0.41429797665145296,0.20931,93/172,6.31%,GYPB;AHSP;SNCA;EPB42;HBD;XK;STRADB;SELENBP1;MKRN1;CDC34;DCAF12;ALAS2;SLPI;SLC4A1;S100A9;HP;BLVRB;SLC6A8;TMOD1;ANXA3;HEMGN;MPP1;S100A8;GMPR;FECH;CA1;KRT1;TNS1;FAM104A;KLF1;BPGM;CTNNAL1;GLRX5;RNF10;ADIPOR1;ADM;BNIP3L;GSPT1;LTF;HBQ1;MMP8;S100A12;LCN2;OSBP2;BPI;CAMP;EIF1B;FBXO7;FCGR1B;CEACAM8;CEACAM6;ANK1;GNG10;E2F2;PGLYRP1;TUBA1A;MYL4;RIOK3;RETN;ACSL1;DNAJC6;ASGR2;S100P;GYPA;NCF4;TFDP1;HEPACAM2;GPR84;HPSE;RAP1GAP;LIMK2;SAT1;OLFM4;SLC22A4;HBM;PPM1A;IFI27;PCGF5;IFITM3;RNASE3;RNASE2;BST1;CD177;RPIA;DYSF;PRTN3;DEFA4;LGALS1;IL1RN;BCL6;PLBD1;MPO;ARG1
1,gsea,BOYAULT_LIVER_CANCER_SUBCLASS_G23_DN,-0.7804199711475642,-1.9121824509666745,0.0021260679554313162,1.0,0.59339,6/9,13.14%,COBLL1;N4BP2L1;STARD5;SORD;ACO1;SERPINF2
2,gsea,GSE34205_RSV_VS_FLU_INF_INFANT_PBMC_UP,0.6878239664519535,1.8715304800007426,0.02816119145084648,1.0,0.71822,70/127,6.35%,AHSP;SNCA;EPB42;MRC2;HBD;STRADB;SELENBP1;MKRN1;CDC34;DCAF12;PLEK2;ALAS2;SLC4A1;MXI1;GABARAPL2;BCL2L1;CCNDBP1;SLC6A8;SLC14A1;SPTB;TMOD1;SLC25A37;GPR146;HEMGN;FECH;CA1;TRIM10;PINK1;TNS1;FAM104A;HAGH;KLF1;BPGM;GLRX5;RNF10;CR1L;ADIPOR1;ABCG2;OR2W3;BNIP3L;GSPT1;HBQ1;SLC25A39;FBXO7;ANK1;TESC;HTRA3;MYL4;KANK2;RUNDC3A;MBNL3;ESPN;DNAJC6;RNF11;GYPA;HBB;RNF182;HEPACAM2;TCEAL2;RAP1GAP;HBM;PPM1A;ARL14;NPRL3;FRMD4A;RPIA;RAB2B;UBE2O;MICAL2;HBZ
3,gsea,MCBRYAN_TERMINAL_END_BUD_UP,0.8346659546038,1.860278014986496,0.0008298755186721991,1.0,0.74704,6/10,7.40%,TNS1;IGFBP2;SFRP1;TNFRSF12A;RNF149;CNN1
4,gsea,DMAP_ERY5,0.6337620472572886,1.8288929498126885,0.04030612244897959,1.0,0.81891,157/306,11.79%,GYPB;SNCA;EPB42;CDKN2D;MRC2;HBD;XK;SELENBP1;MKRN1;LGALS3;CDC34;PRDX2;PLEK2;GUK1;ALAS2;BLVRB;MXI1;GABARAPL2;BCL2L1;BSG;SLC6A8;SLC14A1;SPTB;WDR45;TMOD1;DPM2;SLC25A37;FBXO9;TMEM158;TRIM58;MPP1;TSPAN5;GMPR;FECH;CA1;TRIM10;KRT1;PINK1;TNS1;NARF;HAGH;KLF1;BPGM;PBX1;CTNNAL1;GLRX5;CHPT1;RBM38;RNF10;NFE2;FIS1;RHAG;TGM2;ADIPOR1;ABCG2;BNIP3L;GSPT1;RHCE;HBQ1;SIAH2;UBL5;GYPC;KEL;FZD5;NFIX;CARM1;AQP1;TAL1;EIF2AK1;FBXO7;HDGF;POLL;NINJ2;ANK1;C9orf78;TESC;CREG1;MYL4;RIOK3;DNAJB2;RNF123;UBB;MAP2K3;BMP2;MBNL3;DNAJC6;PSMF1;SHARPIN;RNF11;GYPA;HBB;TFDP1;SPTA1;RBX1;RANBP10;FKBP8;ARHGEF12;ARL4A;RAP1GAP;ATP6V1D;CTSE;PPP2R5B;TFR2;PIM1;HPS1;TMC5;TNFRSF4;FAM117A;PDZK1IP1;SLC22A4;PPM1A;POLR1D;UBAP1;WBP2;NEDD4L;AP2S1;C9orf40;MARK3;LRP10;RPIA;NAPA;HBA1;ATP6V0C;TMCC2;RAD23A;GLRX;UBE2O;MICAL2;MBOAT2;SMOX;PTPRF;MGST3;ARG1;CD59;CA2;VTI1B;YBX1;PDCD10;ST3GAL2;TBC1D22B;YIPF2;CDKL1;FURIN;MAP1LC3B;GLUL;TTC1;RNF187;RSAD2;PTTG1;TSG101;ACP1;REXO2;F13A1;YOD1;USP12;HIGD1A;HEBP1
5,gsea,HOLLEMAN_PREDNISOLONE_RESISTANCE_B_ALL_DN,0.7671460190724665,1.8216880869892682,0.0036160885638673967,1.0,0.83309,5/9,8.31%,BLVRB;STOM;MAFF;CA4;GAPDH
6,gsea,DMAP_ERY3,0.6034227069617716,1.8164548910037894,0.042395899279106336,1.0,0.84295,173/362,11.79%,GYPB;SNCA;EPB42;NTAN1;CDKN2D;MRC2;HBD;XK;SELENBP1;MKRN1;LGALS3;CDC34;PRDX2;PLEK2;GUK1;ALAS2;BLVRB;MXI1;GABARAPL2;BCL2L1;BSG;SLC6A8;SLC14A1;SPTB;WDR45;TMOD1;DPM2;SLC25A37;FBXO9;TMEM158;TRIM58;MPP1;SERF2;TSPAN5;GMPR;FECH;CA1;TRIM10;KRT1;PINK1;TNS1;NARF;HAGH;KLF1;BPGM;PBX1;CTNNAL1;GLRX5;CHPT1;RBM38;RNF10;NFE2;FIS1;FKBP1B;RHAG;TGM2;ADIPOR1;ABCG2;BNIP3L;GSPT1;RHCE;HBQ1;SIAH2;UBL5;GYPC;OSBP2;KEL;FZD5;NFIX;CARM1;AQP1;TAL1;EIF2AK1;FBXO7;HDGF;POLL;MCOLN1;NINJ2;GATA1;ANK1;C9orf78;TESC;CREG1;MYL4;RIOK3;DNAJB2;LYL1;RNF123;UBB;MAP2K3;BMP2;MBNL3;DNAJC6;PSMF1;SLC1A5;SHARPIN;RNF11;GYPA;HBB;TFDP1;SPTA1;DAD1;RBX1;PNP;RANBP10;FKBP8;ARHGEF12;ARL4A;RAP1GAP;ATP6V1D;CTSE;PPP2R5B;TFR2;NDUFA1;PIM1;HPS1;TMC5;TNFRSF4;FAM117A;PDZK1IP1;SLC22A4;PPM1A;POLR1D;UBAP1;WBP2;NEDD4L;AP2S1;C9orf40;MARK3;LRP10;FRMD4A;RPIA;CYB5R3;NAPA;HBA1;ATP6V0C;TMCC2;RAD23A;FAM89B;GLRX;UBE2O;MICAL2;MBOAT2;SMOX;ECSIT;PTPRF;MGST3;ARG1;CD59;CA2;VTI1B;FAM53C;YBX1;PDCD10;ST3GAL2;TBC1D22B;YIPF2;CDKL1;FURIN;MAP1LC3B;GLUL;TTC1;PNPLA2;RNF187;RSAD2;PTTG1;TSG101;ACP1;REXO2;YOD1;USP12;HIGD1A;HEBP1
7,gsea,DMAP_ERY4,0.6267917645469915,1.8155932621370938,0.04320949874533325,1.0,0.84485,156/308,11.79%,GYPB;SNCA;EPB42;CDKN2D;MRC2;HBD;XK;SELENBP1;MKRN1;LGALS3;CDC34;PRDX2;PLEK2;GUK1;ALAS2;BLVRB;MXI1;GABARAPL2;BCL2L1;BSG;SLC6A8;SLC14A1;SPTB;WDR45;TMOD1;DPM2;SLC25A37;FBXO9;TMEM158;TRIM58;MPP1;TSPAN5;GMPR;FECH;CA1;TRIM10;KRT1;PINK1;TNS1;NARF;HAGH;KLF1;BPGM;PBX1;CTNNAL1;GLRX5;CHPT1;RBM38;RNF10;NFE2;FIS1;RHAG;TGM2;ADIPOR1;ABCG2;BNIP3L;GSPT1;RHCE;HBQ1;SIAH2;UBL5;GYPC;KEL;FZD5;NFIX;CARM1;AQP1;TAL1;EIF2AK1;FBXO7;HDGF;POLL;NINJ2;ANK1;C9orf78;TESC;CREG1;MYL4;RIOK3;DNAJB2;RNF123;UBB;MAP2K3;BMP2;MBNL3;DNAJC6;PSMF1;SHARPIN;RNF11;GYPA;HBB;TFDP1;SPTA1;RBX1;RANBP10;FKBP8;ARHGEF12;ARL4A;RAP1GAP;ATP6V1D;CTSE;PPP2R5B;TFR2;PIM1;HPS1;TMC5;TNFRSF4;FAM117A;PDZK1IP1;SLC22A4;PPM1A;POLR1D;UBAP1;WBP2;NEDD4L;AP2S1;C9orf40;MARK3;LRP10;RPIA;NAPA;HBA1;ATP6V0C;TMCC2;RAD23A;GLRX;UBE2O;MICAL2;MBOAT2;SMOX;PTPRF;MGST3;ARG1;CD59;CA2;VTI1B;YBX1;PDCD10;ST3GAL2;TBC1D22B;YIPF2;CDKL1;FURIN;MAP1LC3B;GLUL;TTC1;RNF187;RSAD2;PTTG1;TSG101;ACP1;REXO2;YOD1;USP12;HIGD1A;HEBP1
8,gsea,GSE29618_MONOCYTE_VS_PDC_DN,-0.5002150488841692,-1.8041576293567567,0.003107188093730209,1.0,0.86273,89/176,23.00%,PTPRS;SOX4;EPHA2;HERPUD1;REPIN1;IRF8;CUX2;FLT3;MEF2D;FLNB;SCAMP5;COBLL1;TMEM8B;ATP2A3;SPIB;RUNX2;AFF3;LILRA4;TCF4;KRT5;TRAF4;SCT;LGMN;RIMS3;ETS1;MLEC;ADAM19;TNFRSF21;BCL11A;PHEX;MTMR1;SLC7A6;ITM2C;GTF2I;SLC38A1;GNG7;KCNK10;NRP1;BLNK;CLN8;PCM1;PPP1R14B;AEBP1;PPP1R16B;USP11;SLC9A7;GPM6B;TARBP1;GGA2;INPP4A;SIDT1;HYOU1;ATP8A1;SEL1L3;SETBP1;MDN1;USP24;FCHSD2;ABI2;BAHCC1;OGT;SEPHS1;SFT2D2;SIGLEC6;RBBP7;HLTF;CIB2;DAPK2;TSPAN13;ENPP2;LRBA;AUTS2;ZHX2;VEGFB;ANKRD36;SMC6;STMN1;BTAF1;BCL7A;TMED10;MAGED1;PHLPP2;DCK;TCF3;PAFAH2;KIF20B;NSUN5;HSP90B1;IRF4
9,gsea,SOUCEK_MYC_TARGETS,0.8695541083412653,1.8000946079654825,0.0017945454166058052,1.0,0.8711,6/8,11.15%,CXCL1;CCL7;CCL2;CXCL2;CXCL6;CCL5
