Gene,Ranks,gene_name
GYPB,0.316275094781068,GYPB
AHSP,0.3026148242374546,AHSP
SNCA,0.2958831433706869,SNCA
EPB42,0.290600751902774,EPB42
SELENOK,0.28835515328890343,SELENOK
CCM2L,0.286172309913721,CCM2L
NTAN1,0.2806257204442511,NTAN1
CDKN2D,0.28047830066051027,CDKN2D
ATP5F1E,0.2802089382113249,ATP5F1E
MRC2,0.2778827779698744,MRC2
HBD,0.27486359491537676,HBD
XK,0.2746288963949899,XK
STRADB,0.27371673552934006,STRADB
FAM155B,0.27353426918083157,FAM155B
SELENBP1,0.2731629337690238,SELENBP1
MKRN1,0.27311977053104536,MKRN1
RAB3IL1,0.2729188058887462,RAB3IL1
DPCD,0.2712552542357329,DPCD
LGALS3,0.27074660932696526,LGALS3
CDC34,0.2703474906341839,CDC34
FCER1G,0.2700130831363945,FCER1G
FAM210B,0.26999604490052426,FAM210B
PRDX2,0.26884030635273753,PRDX2
DCAF12,0.2673718002677204,DCAF12
PLEK2,0.266791453683208,PLEK2
GUK1,0.2667656535878183,GUK1
ALAS2,0.26491292450012843,ALAS2
SLPI,0.2624591816377048,SLPI
SLC4A1,0.26230190996325964,SLC4A1
SGIP1,0.26208384110766025,SGIP1
S100A9,0.2617416609303891,S100A9
TSPAN7,0.2616271478450579,TSPAN7
HP,0.2602772378674026,HP
BLVRB,0.2602429133273082,BLVRB
MXI1,0.2595957402943389,MXI1
GABARAPL2,0.2583494414542479,GABARAPL2
BCL2L1,0.2582453426994124,BCL2L1
PAGE2B,0.2581776775730966,PAGE2B
CCNDBP1,0.25730701662778444,CCNDBP1
BSG,0.2572712514480653,BSG
TLCD4,0.2569383013945215,TLCD4
SLC6A8,0.2567960334644911,SLC6A8
SLC14A1,0.2567011036575888,SLC14A1
SPTB,0.2562088595357549,SPTB
WDR45,0.25566707665244365,WDR45
ACKR1,0.2552541171575896,ACKR1
ELOB,0.25506172749476586,ELOB
BLOC1S1,0.2545157865651657,BLOC1S1
SLC6A9,0.25361724566289784,SLC6A9
ATP6V0E1,0.2532309349126339,ATP6V0E1
TMOD1,0.2531399745634177,TMOD1
DPM2,0.25246590715488515,DPM2
SLC25A37,0.2516465338267079,SLC25A37
ANXA3,0.2515782585553057,ANXA3
SMIM5,0.25152690893951085,SMIM5
GPR146,0.25098057109298,GPR146
PRDX5,0.2505575637702591,PRDX5
C17orf99,0.2499751130992224,C17orf99
HCAR3,0.24988376731702078,HCAR3
HEMGN,0.24951641323014478,HEMGN
RILP,0.24935293371652764,RILP
FBXO9,0.24807030367727992,FBXO9
TTC25,0.24803469687471535,TTC25
TMEM158,0.24715240818800607,TMEM158
TRIM58,0.24705651514632368,TRIM58
MPP1,0.24632157182106515,MPP1
SERF2,0.24532914706049544,SERF2
EMC3,0.24517059132400407,EMC3
HCAR2,0.2451233778428492,HCAR2
S100A8,0.24483294508456077,S100A8
TSPAN5,0.24416057539930813,TSPAN5
GMPR,0.24384730495912096,GMPR
FECH,0.2437329028868046,FECH
ZMAT2,0.2430958642233193,ZMAT2
CMTM2,0.24143439551182236,CMTM2
CA1,0.24089919151908454,CA1
TMEM86B,0.24078929562524964,TMEM86B
GRINA,0.23979548699891506,GRINA
TRIM10,0.23848298199588697,TRIM10
KRT1,0.23646357186425296,KRT1
PINK1,0.2363131537795839,PINK1
FAM214B,0.2356145949637152,FAM214B
ATP1B2,0.2354415582509516,ATP1B2
BCAM,0.2353694418498169,BCAM
TNS1,0.23434649478058703,TNS1
FAM104A,0.23360891605717862,FAM104A
NARF,0.23359967489854153,NARF
NOP10,0.2335236251373348,NOP10
HAGH,0.23299308900350865,HAGH
HMBS,0.23257236033102766,HMBS
H2AJ,0.23232401437641137,H2AJ
THEM5,0.23213720721138792,THEM5
KLF1,0.2320134466324557,KLF1
BPGM,0.23177677285215734,BPGM
DMTN,0.23052733616229726,DMTN
ITLN1,0.2304842671044508,ITLN1
CYSTM1,0.2299071016180547,CYSTM1
KLC3,0.2297701241952917,KLC3
MYL6,0.2291661546206949,MYL6
PBX1,0.22860696075009812,PBX1
CTNNAL1,0.2284115642708629,CTNNAL1
GLRX5,0.2283838801674911,GLRX5
MCEMP1,0.22838256295776804,MCEMP1
CHPT1,0.2280942943517422,CHPT1
RBM38,0.22713231666027653,RBM38
TSPO2,0.22696738690478738,TSPO2
SNX3,0.2267181565727777,SNX3
RNF10,0.22666878979992297,RNF10
NFE2,0.2259505755639467,NFE2
FIS1,0.2252560790106262,FIS1
FKBP1B,0.22514755248073398,FKBP1B
IFIT1B,0.2248337016979153,IFIT1B
SEC14L4,0.22452319533652837,SEC14L4
RHAG,0.2244448480380861,RHAG
TGM2,0.2241359123671198,TGM2
YBX3,0.22367608076897827,YBX3
CR1L,0.22230508821339354,CR1L
SYN2,0.2211080851180346,SYN2
ACHE,0.22100548240534007,ACHE
ADIPOR1,0.220696394770151,ADIPOR1
ABCG2,0.22054537597945278,ABCG2
SLC26A8,0.21997489405808232,SLC26A8
SVBP,0.21957039188372615,SVBP
UBXN6,0.21953282017718265,UBXN6
SCARF1,0.21904844958537079,SCARF1
ADM,0.218213178716054,ADM
OR2W3,0.21806904921127093,OR2W3
MFSD2B,0.2178029538425391,MFSD2B
MARCHF8,0.21771405350136314,MARCHF8
BNIP3L,0.2175211679889897,BNIP3L
MAFA,0.2168932889017144,MAFA
GSPT1,0.21677629285884015,GSPT1
LTF,0.21658453588154447,LTF
ST3GAL4,0.21632165913562962,ST3GAL4
RHCE,0.21630087241162832,RHCE
DDAH2,0.2161641339100865,DDAH2
CLIC1,0.2161511030394442,CLIC1
HBQ1,0.21591183879569043,HBQ1
TRAPPC5,0.2153968711968939,TRAPPC5
COL23A1,0.21529991069926446,COL23A1
OPTN,0.21433338942601005,OPTN
MMP8,0.21417897603379638,MMP8
SIAH2,0.21414590109075304,SIAH2
DDIT4L,0.21401810040416924,DDIT4L
ICAM5,0.2128582554829754,ICAM5
UBL5,0.2125068438611314,UBL5
S100A12,0.21246404410755348,S100A12
GYPC,0.21239642130697906,GYPC
UQCR11,0.21215213236335365,UQCR11
SLC25A39,0.21205277642400738,SLC25A39
PI3,0.21170780943377043,PI3
LCN2,0.21139048323738127,LCN2
FUNDC2,0.21134674794489103,FUNDC2
TCN1,0.21059571652858775,TCN1
IGF2BP2,0.21034192184699244,IGF2BP2
OSBP2,0.20995349926382284,OSBP2
KEL,0.20987358098186668,KEL
FZD5,0.2090276914883624,FZD5
NFIX,0.20890191959801815,NFIX
NAIP,0.20886450574055734,NAIP
PROK2,0.20851189425746433,PROK2
KLHDC8A,0.20848319631962256,KLHDC8A
CARM1,0.20816624802370445,CARM1
AQP1,0.20800246592259936,AQP1
UBE2F,0.20795533385103412,UBE2F
PPBP,0.2076318682859809,PPBP
OLR1,0.2070865919004251,OLR1
BPI,0.2059647343920677,BPI
FAM95C,0.2057449590855456,FAM95C
SLC66A2,0.20521814163653287,SLC66A2
OST4,0.20490048170480568,OST4
TAL1,0.2043931273512426,TAL1
CAMP,0.20435422694164365,CAMP
