lebel_type	dis_co_occu	dis_pos	dis_neg	ran_ds_no	best_l1_ratio	best_C	best_cv_train_balanced_accuracy	test_balanced_accuracy
ori_leb	Karyotype	304	95	0	0.1	0.2	0.888	0.885
shuff_leb	Karyotype	304	95	0	0.9	0.2	0.484	0.483
ori_leb	Karyotype	304	95	1	0.1	1.0	0.878	0.861
shuff_leb	Karyotype	304	95	1	0.8	0.2	0.56	0.491
ori_leb	Karyotype	304	95	2	0.6	0.6	0.885	0.893
shuff_leb	Karyotype	304	95	2	0.1	0.001	0.465	0.5
ori_leb	Karyotype	304	95	3	0.6	0.4	0.906	0.869
shuff_leb	Karyotype	304	95	3	0.1	0.001	0.475	0.5
ori_leb	Karyotype	304	95	4	0.4	0.2	0.897	0.902
shuff_leb	Karyotype	304	95	4	0.2	0.4	0.542	0.503
ori_leb	Karyotype	304	95	5	0.4	0.2	0.865	0.877
shuff_leb	Karyotype	304	95	5	0.8	100.0	0.555	0.476
ori_leb	Karyotype	304	95	6	0.8	0.2	0.867	0.885
shuff_leb	Karyotype	304	95	6	0.8	1000.0	0.469	0.45
ori_leb	Karyotype	304	95	7	0.2	0.2	0.876	0.918
shuff_leb	Karyotype	304	95	7	0.1	0.001	0.49	0.5
ori_leb	Karyotype	304	95	8	0.2	0.1	0.878	0.902
shuff_leb	Karyotype	304	95	8	0.6	0.1	0.514	0.578
ori_leb	Karyotype	304	95	9	0.1	0.1	0.898	0.885
shuff_leb	Karyotype	304	95	9	0.6	1000.0	0.5	0.415
ori_leb	Karyotype	304	95	10	0.2	0.4	0.892	0.861
shuff_leb	Karyotype	304	95	10	0.1	1000.0	0.537	0.458
ori_leb	Karyotype	304	95	11	0.4	0.4	0.896	0.869
shuff_leb	Karyotype	304	95	11	0.6	10.0	0.503	0.535
ori_leb	Karyotype	304	95	12	0.1	1.0	0.885	0.861
shuff_leb	Karyotype	304	95	12	0.4	0.2	0.505	0.504
ori_leb	Karyotype	304	95	13	0.2	0.1	0.871	0.902
shuff_leb	Karyotype	304	95	13	0.1	0.001	0.468	0.5
ori_leb	Karyotype	304	95	14	0.9	1.0	0.898	0.885
shuff_leb	Karyotype	304	95	14	0.9	0.2	0.462	0.391
ori_leb	Karyotype	304	95	15	0.2	0.6	0.888	0.861
shuff_leb	Karyotype	304	95	15	0.4	0.2	0.519	0.466
ori_leb	Karyotype	304	95	16	0.4	0.4	0.885	0.934
shuff_leb	Karyotype	304	95	16	0.9	0.4	0.521	0.443
ori_leb	Karyotype	304	95	17	0.6	0.4	0.875	0.926
shuff_leb	Karyotype	304	95	17	0.4	0.6	0.559	0.486
ori_leb	Karyotype	304	95	18	0.1	0.1	0.876	0.926
shuff_leb	Karyotype	304	95	18	0.6	0.2	0.562	0.509
ori_leb	Karyotype	304	95	19	0.4	0.2	0.878	0.902
shuff_leb	Karyotype	304	95	19	0.1	0.001	0.426	0.5
ori_leb	Karyotype	304	95	20	0.8	0.2	0.867	0.934
shuff_leb	Karyotype	304	95	20	0.8	0.1	0.494	0.414
ori_leb	Karyotype	304	95	21	0.9	0.2	0.878	0.874
shuff_leb	Karyotype	304	95	21	0.8	0.2	0.509	0.511
ori_leb	Karyotype	304	95	22	0.9	0.4	0.867	0.902
shuff_leb	Karyotype	304	95	22	0.2	0.1	0.478	0.422
