lebel_type	dis_co_occu	ran_ds_no	best_l1_ratio	best_C	best_cv_train_rmse	test_rmse
ori_leb	BMI	0	0.1	0.4	4.951	5.465
shuff_leb	BMI	0	0.1	1000.0	7.773	7.278
ori_leb	BMI	1	0.1	0.4	4.764	6.364
shuff_leb	BMI	1	0.9	1.0	7.745	7.403
ori_leb	BMI	2	0.1	0.4	4.547	7.054
shuff_leb	BMI	2	0.9	1.0	7.545	8.106
ori_leb	BMI	3	0.1	0.4	4.745	6.307
shuff_leb	BMI	3	0.1	1000.0	7.731	7.378
ori_leb	BMI	4	0.1	0.4	4.767	6.153
shuff_leb	BMI	4	0.1	1000.0	7.619	7.843
ori_leb	BMI	5	0.1	0.6	5.228	5.312
shuff_leb	BMI	5	0.6	1.0	7.827	7.578
ori_leb	BMI	6	0.1	0.6	5.158	5.545
shuff_leb	BMI	6	0.9	1.0	7.869	7.0
ori_leb	BMI	7	0.1	0.4	4.789	5.901
shuff_leb	BMI	7	0.9	1.0	7.595	8.104
ori_leb	BMI	8	0.1	0.6	5.15	5.692
shuff_leb	BMI	8	0.1	1000.0	7.742	7.329
ori_leb	BMI	9	0.2	0.4	5.025	5.436
shuff_leb	BMI	9	0.4	1.0	7.843	7.896
ori_leb	BMI	10	0.1	0.4	4.75	6.1
shuff_leb	BMI	10	0.8	1.0	7.887	6.731
ori_leb	BMI	11	0.1	0.6	5.183	5.954
shuff_leb	BMI	11	0.9	1.0	7.685	7.917
ori_leb	BMI	12	0.1	0.6	5.163	5.498
shuff_leb	BMI	12	0.9	1.0	7.598	7.644
ori_leb	BMI	13	0.1	0.6	4.941	6.488
shuff_leb	BMI	13	0.9	1.0	7.832	7.254
ori_leb	BMI	14	0.1	0.4	4.691	6.755
shuff_leb	BMI	14	0.2	1.0	7.293	9.062
ori_leb	BMI	15	0.1	0.4	4.757	6.568
shuff_leb	BMI	15	0.1	1000.0	7.563	8.035
ori_leb	BMI	16	0.1	0.4	4.734	6.59
shuff_leb	BMI	16	0.2	1.0	7.746	8.751
ori_leb	BMI	17	0.1	0.6	5.006	6.602
shuff_leb	BMI	17	0.1	1000.0	7.375	8.702
ori_leb	BMI	18	0.1	0.4	4.639	6.699
shuff_leb	BMI	18	0.6	1.0	7.323	8.9
ori_leb	BMI	19	0.1	0.4	4.93	6.043
shuff_leb	BMI	19	0.6	1.0	7.598	8.179
ori_leb	BMI	20	0.1	0.4	4.822	6.252
shuff_leb	BMI	20	0.1	1000.0	7.501	8.27
ori_leb	BMI	21	0.2	0.4	5.012	5.822
shuff_leb	BMI	21	0.8	1.0	7.734	7.688
ori_leb	BMI	22	0.1	0.4	4.856	5.626
shuff_leb	BMI	22	0.1	10.0	7.838	6.91
ori_leb	BMI	23	0.1	0.4	4.849	6.025
